Time	ET
2012-08-01 00:00:00	3.6856
2012-08-02 00:00:00	3.49269
2012-08-03 00:00:00	3.79895
2012-08-04 00:00:00	3.35378
2012-08-05 00:00:00	3.43328
2012-08-06 00:00:00	3.25092
2012-08-07 00:00:00	3.24405
2012-08-08 00:00:00	3.77021
2012-08-09 00:00:00	4.30762
2012-08-10 00:00:00	4.79274
2012-08-11 00:00:00	3.43313
2012-08-12 00:00:00	3.31492
2012-08-13 00:00:00	3.53717
2012-08-14 00:00:00	3.45306
2012-08-15 00:00:00	3.73754
2012-08-16 00:00:00	3.23723
2012-08-17 00:00:00	3.33713
2012-08-18 00:00:00	3.29031
2012-08-19 00:00:00	3.05812
2012-08-20 00:00:00	3.04025
2012-08-21 00:00:00	3.0466
2012-08-22 00:00:00	2.96887
2012-08-23 00:00:00	2.94967
2012-08-24 00:00:00	2.871
2012-08-25 00:00:00	2.8498
2012-08-26 00:00:00	2.6434
2012-08-27 00:00:00	2.82967
2012-08-28 00:00:00	2.76311
2012-08-29 00:00:00	2.52463
2012-08-30 00:00:00	2.31438
2012-08-31 00:00:00	2.59375
2012-09-01 00:00:00	2.77647
2012-09-02 00:00:00	2.67748
2012-09-03 00:00:00	2.65766
2012-09-04 00:00:00	2.49146
2012-09-05 00:00:00	2.36654
2012-09-06 00:00:00	2.4833
2012-09-07 00:00:00	2.62596
2012-09-08 00:00:00	2.54585
2012-09-09 00:00:00	2.71387
2012-09-10 00:00:00	2.20382
2012-09-11 00:00:00	1.91022
2012-09-12 00:00:00	1.96082
2012-09-13 00:00:00	2.06786
2012-09-14 00:00:00	2.15325
2012-09-15 00:00:00	2.0989
2012-09-16 00:00:00	2.00548
2012-09-17 00:00:00	1.81555
2012-09-18 00:00:00	1.70934
2012-09-19 00:00:00	1.66062
2012-09-20 00:00:00	1.6957
2012-09-21 00:00:00	1.54022
2012-09-22 00:00:00	1.82652
2012-09-23 00:00:00	1.622
2012-09-24 00:00:00	1.58453
2012-09-25 00:00:00	1.69687
2012-09-26 00:00:00	1.70701
2012-09-27 00:00:00	1.6509
2012-09-28 00:00:00	1.60726
2012-09-29 00:00:00	1.59374
2012-09-30 00:00:00	1.67977
2012-10-01 00:00:00	1.57978
2012-10-02 00:00:00	1.45838
2012-10-03 00:00:00	1.28154
2012-10-04 00:00:00	1.25354
2012-10-05 00:00:00	1.25151
2012-10-06 00:00:00	1.32509
2012-10-07 00:00:00	1.43971
2012-10-08 00:00:00	1.34575
2012-10-09 00:00:00	1.1882
2012-10-10 00:00:00	1.4139
2012-10-11 00:00:00	1.28576
2012-10-12 00:00:00	1.1249
2012-10-13 00:00:00	1.12474
2012-10-14 00:00:00	1.06489
2012-10-15 00:00:00	0.863815
2012-10-16 00:00:00	0.907163
2012-10-17 00:00:00	0.903268
2012-10-18 00:00:00	0.931721
2012-10-19 00:00:00	1.06988
2012-10-20 00:00:00	0.951556
2012-10-21 00:00:00	1.24083
2012-10-22 00:00:00	0.813636
2012-10-23 00:00:00	0.927176
2012-10-24 00:00:00	0.848718
2012-10-25 00:00:00	0.812456
2012-10-26 00:00:00	0.683933
2012-10-27 00:00:00	0.692039
2012-10-28 00:00:00	0.847739
2012-10-29 00:00:00	0.693827
2012-10-30 00:00:00	0.737067
2012-10-31 00:00:00	0.7273
2012-11-01 00:00:00	0.594699
2012-11-02 00:00:00	0.614444
2012-11-03 00:00:00	0.525182
2012-11-04 00:00:00	0.526956
2012-11-05 00:00:00	0.522729
2012-11-06 00:00:00	0.65033
2012-11-07 00:00:00	0.60323
2012-11-08 00:00:00	0.63698
2012-11-09 00:00:00	0.637471
2012-11-10 00:00:00	0.528488
2012-11-11 00:00:00	0.489513
2012-11-12 00:00:00	0.637099
2012-11-13 00:00:00	0.649562
2012-11-14 00:00:00	0.598855
2012-11-15 00:00:00	0.543278
2012-11-16 00:00:00	0.530755
2012-11-17 00:00:00	0.478788
2012-11-18 00:00:00	0.444719
2012-11-19 00:00:00	0.520054
2012-11-20 00:00:00	0.553928
2012-11-21 00:00:00	0.454414
2012-11-22 00:00:00	0.480108
2012-11-23 00:00:00	0.437285
2012-11-24 00:00:00	0.339637
2012-11-25 00:00:00	0.391585
2012-11-26 00:00:00	0.253979
2012-11-27 00:00:00	0.429857
2012-11-28 00:00:00	0.42489
2012-11-29 00:00:00	0.414147
2012-11-30 00:00:00	0.301343
2012-12-01 00:00:00	0.232706
2012-12-02 00:00:00	0.203076
2012-12-03 00:00:00	0.331419
2012-12-04 00:00:00	0.256723
2012-12-05 00:00:00	0.207275
2012-12-06 00:00:00	0.260572
2012-12-07 00:00:00	0.283362
2012-12-08 00:00:00	0.327454
2012-12-09 00:00:00	0.322627
2012-12-10 00:00:00	0.243425
2012-12-11 00:00:00	0.181619
2012-12-12 00:00:00	0.233712
2012-12-13 00:00:00	0.248729
2012-12-14 00:00:00	0.283928
2012-12-15 00:00:00	0.322717
2012-12-16 00:00:00	0.315795
2012-12-17 00:00:00	0.29582
2012-12-18 00:00:00	0.305439
2012-12-19 00:00:00	0.235224
2012-12-20 00:00:00	0.225744
